Family,Year Discovered,Genera,Common name(s),Example species,Example image
"CarettochelyidaeBoulenger, 1887",1887,1,Pig-nosed turtle,Pig-nosed turtle (Carettochelys insculpta),
"CheloniidaeOppel, 1811",1811,6,Sea turtles,Green sea turtle (Chelonia mydas),
"ChelydridaeGray, 1831",1831,2,Snapping turtles,Alligator snapping turtle (Macrochelys temminckii),
"DermatemydidaeGray, 1870",1870,1,Central American river turtle,Central American river turtle (Dermatemys mawii),
"DermochelyidaeFitzinger, 1843",1843,1,Leatherback sea turtle,Leatherback sea turtle (Dermochelys coriacea),
"EmydidaeRafinesque, 1815",1815,12,"Pond turtles, terrapins, and sliders",Red-eared slider (Trachemys scripta elegans),
"GeoemydidaeTheobald, 1868",1868,24,"Asian leaf turtles, roofed turtles, and Asian box turtles",Amboina box turtle (Cuora amboinensis),
"KinosternidaeAgassiz, 1857",1857,4,Mud and musk turtles,Common musk turtle (Sternotherus odoratus),
"PlatysternidaeGray, 1869",1869,1,Big-headed turtle,Big-headed turtle (Platysternon megacephalum),
"TestudinidaeBatsch, 1788",Unknown,12,Tortoises,Aldabra giant tortoise (Geochelone gigantea),
"TrionychidaeFitzinger, 1826",1826,14,Softshell turtles,Spiny softshell turtle (Apalone spinifera),
"Pleurodira – 3 families, 16 genera, over 60 species",Unknown,,,,
"ChelidaeGray, 1831",1831,15,Austro-American sideneck turtles,Common snakeneck turtle (Chelodina longicollis),
"PelomedusidaeCope, 1868",1868,2,Afro-American sideneck turtles,African helmeted turtle (Pelomedusa subrufa),
"PodocnemididaeGray, 1869",1869,3,"Madagascar big-headed, big-headed Amazon River turtle and South American sideneck river turtles",Madagascar big-headed turtle (Erymnochelys madagascariensis),
