fulfillment_id,order_id,fulfillment_date,status,warehouse,product_name,product_department,product_category
a53ee928-4068-4a21-8c2c-f4453c626922,fcae2085-cc70-480f-861f-d1701c5c4a8a,2025-07-16,Delivered,Prime Warehouse Solutions,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
fe7c8007-0914-4d00-b82e-faec451f3d6d,f26097e7-9ee1-478e-984b-cab157bd9a74,2021-10-20,Pending,Supreme Goods Inc.,Dyson V15 Detect Plus Cordless Vacuum,Home & Kitchen,Cordless Vacuums
48498408-67f3-421c-a5b6-3a05363bd218,19f853fc-7e93-4c70-85eb-4df53607d458,2021-08-16,Cancelled,NextGen Logistics,iRobot Roomba 692 Robot Vacuum,Home & Kitchen,Robot Vacuums
2f8bdb94-26b8-4394-9497-b2f43e9db80b,f629931b-f88c-4eac-963a-0816fa2fdafe,2023-11-26,Shipped,Prime Warehouse Solutions,KitchenAid 5-Quart Tilt Head Stand Mixer,Kitchen & Dining,Stand Mixers
5e99362b-2770-4adb-a678-9c314283b039,c0e5b145-5bc5-4de0-9e26-2a796978af14,2025-05-12,Delivered,ABC Electronics,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
7453396b-028d-4a75-9d49-1400b37e2e81,afa008d5-7f09-46e8-9bf8-549ce5100cbc,2025-03-13,Pending,Dynamic Distributors,Apple iPad (10th Generation),Electronics,Tablets
66d2790c-8a9b-472e-90ca-e5371cd4301e,76ed8a5f-32e5-4ede-a537-7a21d16a7922,2024-01-13,Pending,Worldwide Imports,MEATER Plus Long Range Wireless Smart Meat Thermometer,Kitchen & Dining,Meat Thermometers
84bff385-8e4e-4d4f-b9aa-d5054d103970,e4d73e29-2394-4e6c-a502-a3858a78b599,2024-04-05,Pending,ABC Electronics,Le Creuset Stoneware Mugs,Kitchen & Dining,Mugs
c5009731-7aa0-4cb7-8b3b-9cd082c0965e,8752afd8-c774-45ac-a409-87612af4aec9,2024-04-15,Pending,NextGen Logistics,Sol De Janeiro Hair & Body Fragrance Mist,Beauty & Personal Care,Body Mists
5bd3f1ed-e1d4-460f-ad13-ae2cc2afe346,21605cdc-6a37-457c-a9ec-a136fce5ce51,2021-03-30,Shipped,Express Shipping Corp.,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,Health & Household,Water Bottles
