inventory_id,product_name,quantity,warehouse,last_updated,inventory_cost_per_unit,product_department,product_category
826a2bd5-2201-4475-a9d0-fffcd18c4cee,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,349,NextGen Logistics,2020-06-06,88.84,Health & Household,Water Bottles
7ab6b3d3-260c-4775-971c-256e1ff8013e,KitchenAid 5-Quart Tilt Head Stand Mixer,447,Prime Warehouse Solutions,2021-01-30,159.44,Kitchen & Dining,Stand Mixers
9a6ff0e9-7de5-4643-b0d0-53f9b947e2b8,Breville Barista Express Espresso Machine,363,Worldwide Imports,2023-07-20,499.52,Kitchen & Dining,Espresso Machines
826a2bd5-2201-4475-a9d0-fffcd18c4cee,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,276,Express Shipping Corp.,2020-07-20,396.71,Health & Household,Water Bottles
7ab6b3d3-260c-4775-971c-256e1ff8013e,KitchenAid 5-Quart Tilt Head Stand Mixer,123,NextGen Logistics,2021-10-02,194.48,Kitchen & Dining,Stand Mixers
1bbed807-cd24-4063-bead-639f2da9e007,Apple iPad (10th Generation),294,Dynamic Distributors,2022-04-14,86.73,Electronics,Tablets
144142a8-235a-4ac6-b2c5-edd73fac87d2,Beckham Hotel Collection Bed Pillows,202,Dynamic Distributors,2025-01-07,16.28,Home & Kitchen,Bed Pillows
73691721-db11-4892-9fef-b6edcf31724e,essence Lash Princess False Lash Effect Mascara,178,Elite Retailers,2022-10-31,359.17,Beauty & Personal Care,Mascaras
559d4572-d099-4bd5-8102-852fce2140bd,Hero Cosmetics Mighty Patch Original,373,Elite Retailers,2025-09-20,423.72,Beauty & Personal Care,Acne Treatments
27f43327-78d8-4374-ba8e-d9dbb5f57aa8,Lumineux Teeth Whitening Strips,292,Elite Retailers,2020-12-30,482.89,Health & Household,Teeth Whitening
9a56214f-d993-416a-8d51-253c1408ebd1,COSRX Snail Mucin 96% Power Repairing Essence,322,Tech Innovations Ltd.,2021-09-16,176.18,Beauty & Personal Care,Facial Serums
181afb82-426a-4a67-919e-582dc9e517cf,Bissell Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner,268,Dynamic Distributors,2023-02-14,160.94,Home & Kitchen,Carpet Cleaners
d9960380-255e-41de-a4c4-62d9780c3090,Chom Chom Roller Pet Hair Remover,358,Prime Warehouse Solutions,2020-08-16,64.02,Pet Supplies,Pet Hair Removers
826a2bd5-2201-4475-a9d0-fffcd18c4cee,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,50,Global Logistics Co.,2023-06-14,481.4,Health & Household,Water Bottles
236f040a-d61d-42f9-9fcd-85a045c3b647,Dyson V15 Detect Plus Cordless Vacuum,492,ABC Electronics,2023-12-06,44.34,Home & Kitchen,Cordless Vacuums
5434b038-f7c4-4bf0-8cd9-ccd717a0de63,Beast Mini Blender Plus,125,Elite Retailers,2024-07-13,362.66,Kitchen & Dining,Blenders
144142a8-235a-4ac6-b2c5-edd73fac87d2,Beckham Hotel Collection Bed Pillows,36,NextGen Logistics,2024-12-10,87.34,Home & Kitchen,Bed Pillows
57bbe7ae-3f10-40b9-822c-f9ec5faf7704,Apple AirPods Max,307,Prime Warehouse Solutions,2022-08-18,308.65,Electronics,Headphones
1bbed807-cd24-4063-bead-639f2da9e007,Apple iPad (10th Generation),263,ABC Electronics,2025-06-24,279.8,Electronics,Tablets
559d4572-d099-4bd5-8102-852fce2140bd,Hero Cosmetics Mighty Patch Original,126,Prime Warehouse Solutions,2023-04-16,331.32,Beauty & Personal Care,Acne Treatments
826a2bd5-2201-4475-a9d0-fffcd18c4cee,Owala 40-ounce FreeSip Insulated Stainless Steel Water Bottle,265,NextGen Logistics,2024-11-30,377.08,Health & Household,Water Bottles
144142a8-235a-4ac6-b2c5-edd73fac87d2,Beckham Hotel Collection Bed Pillows,287,Dynamic Distributors,2022-03-06,320.44,Home & Kitchen,Bed Pillows
9a56214f-d993-416a-8d51-253c1408ebd1,COSRX Snail Mucin 96% Power Repairing Essence,206,ABC Electronics,2023-01-24,81.08,Beauty & Personal Care,Facial Serums
f64f0420-0bd6-48a2-a1e2-ee6b95104c81,MEATER Plus Long Range Wireless Smart Meat Thermometer,458,Supreme Goods Inc.,2025-02-25,213.12,Kitchen & Dining,Meat Thermometers
73691721-db11-4892-9fef-b6edcf31724e,essence Lash Princess False Lash Effect Mascara,388,Worldwide Imports,2020-09-18,177.27,Beauty & Personal Care,Mascaras
236f040a-d61d-42f9-9fcd-85a045c3b647,Dyson V15 Detect Plus Cordless Vacuum,304,Dynamic Distributors,2020-08-16,251.07,Home & Kitchen,Cordless Vacuums
2b5f95df-08db-4588-a235-b469b2fe4104,iRobot Roomba 692 Robot Vacuum,358,ABC Electronics,2024-09-11,347.58,Home & Kitchen,Robot Vacuums
7ab6b3d3-260c-4775-971c-256e1ff8013e,KitchenAid 5-Quart Tilt Head Stand Mixer,377,Express Shipping Corp.,2024-05-28,424.39,Kitchen & Dining,Stand Mixers
559d4572-d099-4bd5-8102-852fce2140bd,Hero Cosmetics Mighty Patch Original,329,Global Logistics Co.,2025-01-29,198.27,Beauty & Personal Care,Acne Treatments
9a6ff0e9-7de5-4643-b0d0-53f9b947e2b8,Breville Barista Express Espresso Machine,451,Worldwide Imports,2024-12-31,283.12,Kitchen & Dining,Espresso Machines
559d4572-d099-4bd5-8102-852fce2140bd,Hero Cosmetics Mighty Patch Original,144,Worldwide Imports,2020-03-04,343.45,Beauty & Personal Care,Acne Treatments
1bbed807-cd24-4063-bead-639f2da9e007,Apple iPad (10th Generation),358,Prime Warehouse Solutions,2024-10-04,462.87,Electronics,Tablets
7ab6b3d3-260c-4775-971c-256e1ff8013e,KitchenAid 5-Quart Tilt Head Stand Mixer,342,Dynamic Distributors,2025-12-28,267.46,Kitchen & Dining,Stand Mixers
73691721-db11-4892-9fef-b6edcf31724e,essence Lash Princess False Lash Effect Mascara,460,Elite Retailers,2025-12-27,226.54,Beauty & Personal Care,Mascaras
9a6ff0e9-7de5-4643-b0d0-53f9b947e2b8,Breville Barista Express Espresso Machine,121,Prime Warehouse Solutions,2020-12-17,280.55,Kitchen & Dining,Espresso Machines
181afb82-426a-4a67-919e-582dc9e517cf,Bissell Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner,234,ABC Electronics,2024-04-20,317.87,Home & Kitchen,Carpet Cleaners
144142a8-235a-4ac6-b2c5-edd73fac87d2,Beckham Hotel Collection Bed Pillows,258,Global Logistics Co.,2022-08-18,154.36,Home & Kitchen,Bed Pillows
236f040a-d61d-42f9-9fcd-85a045c3b647,Dyson V15 Detect Plus Cordless Vacuum,99,Dynamic Distributors,2023-05-26,236.21,Home & Kitchen,Cordless Vacuums
7ab6b3d3-260c-4775-971c-256e1ff8013e,KitchenAid 5-Quart Tilt Head Stand Mixer,7,Elite Retailers,2024-05-04,155.78,Kitchen & Dining,Stand Mixers
